id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
153309187 14.7851 0.130350470542908 0.185000002384186 1258.9482421875 286.484893798828 83.792585 -5.776534 0.002118923 0.0 17.6846 21168 B B 2456954.859375 84 131 "[3] M42" 19757
158986527 14.5198 0.176250129938126 0.10360000282526 997.526672363281 1190.177734375 83.792886 -5.776533 0.001166425 0.0 17.3802 24483 B B 2457371.59763889 84 131 "[3] M42" 21888
161092668 12.3029 0.0545032024383545 0.0234999991953373 417.947601318359 147.637298583984 83.792965 -5.776532 0.0007606388 0.0 15.5204 26388 I I 2458848.68855324 84 131 "[3] M42" 24522
153308673 14.8146 0.16717641055584 0.168699994683266 1261.84033203125 282.827911376953 83.792622 -5.77653 0.002226687 0.0 17.6838 21170 B B 2456955.85884259 84 131 "[3] M42" 19759
148093040 14.4295 0.213121309876442 0.180299997329712 978.001770019531 1203.05737304688 83.793404 -5.776529 0.002068032 0.0 17.3343 17923 B B 2457982.92188657 84 131 "[3] M42" 16876
149853060 12.5074 0.0588633939623833 0.0283000003546476 545.642028808594 143.57600402832 83.79372 -5.776529 0.001135932 0.0 15.4089 19200 I I 2458387.90188657 84 131 "[3] M42" 17743
179064466 14.1330 0.192225903272629 0.144299998879433 488.79150390625 52.0374984741211 83.792984 -5.776529 0.002302435 0.0 16.9224 30006 B B 2458949.46844907 84 131 "[3] M42" 28907
217863557 13.0388 0.0811560750007629 0.0137000000104308 536.433288574219 87.818603515625 83.792914 -5.776529 0.0009294729 0.0 14.5387 40536 V Green 2459216.61510417 114 181 "[203] YYOri" 39329
276108083 14.6229 0.164985060691833 0.111900001764297 1333.71936035156 333.311614990234 83.792871 -5.776529 0.002558046 0.0 17.3394 49145 B B 2459320.46430556 84 131 "[3] M42" 47826
150430013 14.2323 0.159202575683594 0.0996999964118004 386.510192871094 141.373794555664 83.79309 -5.776528 0.001080574 0.0 16.8603 19743 B B 2458438.85560185 84 131 "[3] M42" 18242
217862798 12.3605 0.0805573686957359 0.0115000000223517 536.776306152344 87.6295013427734 83.79282 -5.776528 0.0008234971 0.0 14.4204 40535 R Red 2459216.61457176 114 181 "[203] YYOri" 39328
276108770 14.3239 0.142426908016205 0.0930000022053719 1314.8203125 337.022796630859 83.792771 -5.776527 0.001447193 0.0 17.0600 49138 B B 2459315.46746528 84 131 "[3] M42" 47817
148116414 14.0334 0.171887919306755 0.193800002336502 963.993530273438 1211.5 83.793193 -5.776526 0.001261475 0.0 17.0652 17982 B B 2457999.91804398 84 131 "[3] M42" 16910
158444941 14.3032 0.158110171556473 0.0869000032544136 994.955627441406 1188.87438964844 83.793316 -5.776526 0.001600764 0.0 16.9688 24271 B B 2457285.90033565 84 131 "[3] M42" 21737
179069072 14.1213 0.164549127221107 0.109499998390675 491.034088134766 45.9910011291504 83.792881 -5.776526 0.001108265 0.0 16.8967 30023 B B 2458955.46488426 84 131 "[3] M42" 28918
378833772 12.4423 0.0432302244007587 0.0210999995470047 1103.46887207031 253.470703125 83.793678 -5.776526 0.001331122 0.0 15.1825 66466 I I 2459612.57693287 84 131 "[3] M42" 64707
152611909 12.5705 0.111406914889812 0.0509999990463257 1286.0849609375 315.550903320312 83.793112 -5.776525 0.002136104 0.0 16.0347 20539 I I 2456970.84905093 84 131 "[3] M42" 19203
161337677 14.1663 0.0369979478418827 0.148200005292892 945.85302734375 1216.79736328125 83.793825 -5.776525 0.002020916 0.0 16.6225 26591 B B 2458692.93282407 84 131 "[3] M42" 24716
174906058 12.9148 0.129619047045708 0.106899999082088 498.061004638672 45.1769981384277 83.792871 -5.776525 0.001708139 0.0 17.1180 29495 V V 2458964.46002315 84 131 "[3] M42" 28673
148378390 14.5188 0.135542616248131 0.150800004601479 395.508911132812 152.512405395508 83.794097 -5.776524 0.0001121866 0.0 17.7409 18201 B B 2458079.85658565 84 131 "[3] M42" 17061
174450377 12.8564 0.10522023588419 0.0507000014185905 481.784484863281 56.1361999511719 83.792888 -5.776524 0.001087501 0.0 16.2589 29413 V V 2458946.47086806 84 131 "[3] M42" 28641
179065362 14.2616 0.260362297296524 0.0926999971270561 489.006286621094 55.2083015441895 83.792916 -5.776524 0.001329877 0.0 16.9910 30009 B B 2458948.46875 84 131 "[3] M42" 28905
217864204 14.1194 0.192810088396072 0.0390000008046627 534.518493652344 88.747200012207 83.792751 -5.776524 0.0009260927 0.0 15.7856 40537 B Blue 2459216.61561343 114 181 "[203] YYOri" 39330
158035070 14.2527 0.167646825313568 0.152700006961823 163.003402709961 977.04248046875 83.794085 -5.776523 0.002655774 0.0 17.3367 23972 B B 2457072.51717593 84 131 "[3] M42" 21574
174910126 12.8876 0.122762270271778 0.0895000025629997 490.710113525391 52.4906005859375 83.79308 -5.776522 0.002453528 0.0 16.3481 29511 V V 2458970.45657407 84 131 "[3] M42" 28686
176705220 14.2907 0.250310927629471 0.135900005698204 434.734588623047 128.583297729492 83.793151 -5.776522 0.001093803 0.0 17.6852 29747 B B 2458860.65673611 84 131 "[3] M42" 28838
150002888 14.4151 0.316507756710052 0.148200005292892 398.260711669922 156.554702758789 83.793704 -5.776521 0.001701728 0.0 17.8125 19413 B B 2458139.65337963 84 131 "[3] M42" 17967
360928972 12.4712 0.0583342202007771 0.0044999998062849 1945.38513183594 553.155212402344 83.793341 -5.776521 0.0011216 0.0 13.9841 62474 R Red 2459597.41623119 7 2 "[3] M42" 61620
147925540 14.5972 0.182089418172836 0.133499994874001 1038.32299804688 1226.03698730469 83.792488 -5.77652 0.00121421 0.0 17.8359 17659 B B 2457756.59974537 84 131 "[3] M42" 16695
146130460 14.2325 0.178775146603584 0.169699996709824 976.894714355469 1193.46008300781 83.793648 -5.776519 0.001224115 0.0 17.0923 16412 B B 2457639.91587963 84 131 "[3] M42" 15795
151155992 12.4594 0.0878194645047188 0.0353999994695187 1251.28662109375 320.282501220703 83.792857 -5.776519 0.00167289 0.0 15.8762 20107 I I 2456950.86180556 84 131 "[3] M42" 19160
153310082 14.5538 0.192888170480728 0.100599996745586 1262.09790039062 335.328308105469 83.792948 -5.776519 0.001407659 0.0 17.4321 21167 B B 2456953.86033565 84 131 "[3] M42" 19756
174615049 12.7691 0.110483728349209 0.0694999992847443 490.991394042969 46.9847984313965 83.7929 -5.776519 0.001433769 0.0 16.2140 29466 V V 2458960.4625463 84 131 "[3] M42" 28668
150444794 14.3200 0.180945321917534 0.170699998736382 354.817413330078 159.203903198242 83.792984 -5.776518 0.002228498 0.0 17.6954 19769 B B 2458453.84670139 84 131 "[3] M42" 18271
174613094 12.8423 0.0965842977166176 0.0617999993264675 488.883392333984 52.2724990844727 83.792981 -5.776518 0.001375362 0.0 16.2198 29431 V V 2458949.46886574 84 131 "[3] M42" 28648
