id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
148205197 10.4579 0.0281271375715733 0.00559999980032444 444.946502685547 664.540405273438 83.959338 -5.476287 0.001536971 0.0 13.4111 18017 B B 2458023.89519676 84 131 "[3] M42" 16948
153292054 10.3159 0.0393579825758934 0.0273000001907349 714.025390625 540.52197265625 83.959338 -5.476611 0.006464213 3.0 13.1297 21135 B B 2456934.87303241 84 131 "[3] M42" 19717
145995746 11.3558 0.0305757075548172 0.0288999993354082 827.697082519531 654.667602539062 83.959339 -5.476383 0.003866419 3.0 13.7005 16249 B B 2457449.49350694 84 131 "[3] M42" 15640
146006453 10.9175 0.0391206108033657 0.00800000037997961 902.415405273438 726.595886230469 83.959339 -5.476306 0.003451523 2.0 13.3877 16264 B B 2457465.48292824 84 131 "[3] M42" 15674
174070944 10.9172 0.0371511168777943 0.0148000000044703 790.235778808594 590.739074707031 83.959341 -5.476141 0.001691004 0.0 14.2791 29354 V V 2458928.48274306 84 131 "[3] M42" 28609
157832850 11.4426 0.0484355129301548 0.0138999996706843 717.737182617188 454.983795166016 83.959343 -5.476368 0.001451331 0.0 14.5560 23892 B B 2457025.61673611 84 131 "[3] M42" 21526
155078661 10.2841 0.0326987020671368 0.00439999997615814 680.714172363281 1016.20648193359 83.959344 -5.476073 0.00173064 2.0 12.8208 22190 V V 2456987.84888889 84 131 "[3] M42" 20409
143839081 10.9770 0.0227226763963699 0.0137999998405576 849.173583984375 671.314514160156 83.959349 -5.476477 0.001937983 0.0 14.1386 15180 V V 2457454.49082176 84 131 "[3] M42" 14744
154975610 10.3993 0.0301342997699976 0.00609999988228083 754.531188964844 499.591491699219 83.959349 -5.476422 0.002353518 35.0 12.8389 22064 V V 2456931.88190972 84 131 "[3] M42" 20301
143851034 10.5206 0.0316172912716866 0.00870000012218952 913.188171386719 736.668212890625 83.95935 -5.476553 0.001627848 0.0 13.7122 15210 V V 2457471.47922454 84 131 "[3] M42" 14777
146027826 11.4047 0.0235345289111137 0.0171000007539988 907.255615234375 736.092712402344 83.95935 -5.476659 0.008298167 3.0 13.8385 16303 B B 2457475.47594907 84 131 "[3] M42" 15695
154990917 10.4896 0.0409554354846478 0.00659999996423721 764.688781738281 444.842102050781 83.959353 -5.476801 0.001898723 34.0 12.9622 22087 V V 2456937.87421296 84 131 "[3] M42" 20311
145422497 11.7129 0.0480198226869106 0.0263000000268221 658.619384765625 664.92529296875 83.959354 -5.47637 0.001624048 0.0 14.7030 15945 B B 2457660.89295139 84 131 "[3] M42" 15383
159250025 11.0504 0.0244783088564873 0.00820000004023314 724.384826660156 338.203186035156 83.959355 -5.476386 0.001970385 2.0 13.7361 24628 V V 2457037.61462963 84 131 "[3] M42" 21928
143847097 11.0144 0.0316770188510418 0.0175000000745058 901.737182617188 730.098571777344 83.959358 -5.476697 0.002427726 0.0 14.2176 15201 V V 2457476.47554398 84 131 "[3] M42" 14786
146027284 11.4528 0.045941200107336 0.0220999997109175 900.235778808594 730.765686035156 83.959359 -5.476664 0.00412322 2.0 13.8968 16292 B B 2457476.47518519 84 131 "[3] M42" 15696
355701174 10.2702 0.0266621261835098 0.00669999979436398 721.454223632812 916.665771484375 83.959359 -5.476117 0.00333945 2.0 12.8856 60411 B B 2459536.82053241 84 131 "[3] M42" 58651
157831074 11.5130 0.0354511998593807 0.0148999998345971 717.788879394531 454.413391113281 83.95936 -5.476441 0.001241035 0.0 14.6294 23890 B B 2457025.61689815 84 131 "[3] M42" 21528
4073769 10.1073 0.144344985485077 0.00179999996908009 3128.9638671875 3878.50244140625 83.959361 -5.476688 0.001391163 2.0 11.5752 331 I I-Band 2457470.30971836 7 2 "[203] YYOri" 307
146014540 11.1781 0.0286110248416662 0.0130000002682209 919.067321777344 738.889221191406 83.959362 -5.47663 0.001823212 2.0 13.7639 16282 B B 2457467.48152778 84 131 "[3] M42" 15679
179063778 10.9114 0.031153904274106 0.0105999996885657 799.336181640625 558.29638671875 83.959362 -5.476018 0.002997524 0.0 13.6510 30002 B B 2458951.46756944 84 131 "[3] M42" 28911
354960675 10.0277 0.020751740783453 0.00380000006407499 719.093627929688 879.858215332031 83.959362 -5.475682 0.00210765 0.0 12.7412 60176 R R 2459533.82287037 84 131 "[3] M42" 58592
354961187 10.0277 0.020751740783453 0.00380000006407499 719.093627929688 879.858215332031 83.959362 -5.475682 0.00210765 0.0 12.7412 60176 R R 2459533.82287037 84 131 "[3] M42" 58592
