id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
360064792 13.3827 0.254714220762253 0.0575000010430813 4250.37451171875 1395.93029785156 84.64107 -2.737905 0.0007213673 0.0 25.2045 62013 R Red 2459592.29652778 58 143 "[5] SigmaOri" 61488
360066595 14.4770 0.0 0.0719999969005585 4249.4453125 1390.34729003906 84.64053 -2.737892 0.000483684 513.0 25.8977 62012 V Green 2459592.29652778 58 143 "[5] SigmaOri" 61487
3742849 12.1602 0.0398107506334782 0.000899999984540045 1966.26513671875 1565.67138671875 84.640451 -2.737844 0.001901831 3.0 11.7159 262 R Red 2457429.50815393 7 2 "[5] SigmaOri" 244
375482277 13.6271 0.0271142795681953 0.008500000461936 581.927185058594 594.042785644531 84.64086 -2.73783 0.001688128 0.0 13.9904 65978 B B 2459630.53090278 84 131 "[5] SigmaOri" 64489
375489393 13.6516 0.0242394860833883 0.00870000012218952 581.776916503906 593.808288574219 84.640843 -2.737799 0.001608398 0.0 13.9904 65980 B B 2459630.53163194 84 131 "[5] SigmaOri" 64491
222582076 11.8515 0.0576842650771141 0.00279999990016222 1829.21923828125 1598.06945800781 84.640151 -2.737785 0.001274409 0.0 13.6810 43002 I I-Band 2459257.41377315 7 2 "[5] SigmaOri" 42368
222586128 12.3786 0.0639958307147026 0.00260000000707805 1829.24609375 1598.38317871094 84.640127 -2.737784 0.001220057 0.0 13.1040 43003 R Red 2459257.41196759 7 2 "[5] SigmaOri" 42367
375481132 13.6480 0.0348850414156914 0.00800000037997961 582.385681152344 591.596984863281 84.640817 -2.737776 0.001819676 0.0 13.8912 65979 B B 2459631.52802083 84 131 "[5] SigmaOri" 64490
222577604 14.2938 0.0439132302999496 0.0153000000864267 1829.31774902344 1599.20837402344 84.640187 -2.737775 0.001215731 0.0 15.5451 43001 B Blue 2459257.40694444 7 2 "[5] SigmaOri" 42369
205433148 11.5974 0.0344071723520756 0.00130000000353903 1920.95153808594 1588.54125976562 84.640393 -2.737764 0.001315576 0.0 13.2662 35299 I I-Band 2459132.68568432 7 2 "[5] SigmaOri" 34409
